# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
010770111,7,10,17
010770112,0,1,1
010770114,0,2,2
010770115,8,18,26
010770116,3,12,15
010770117,1,1,2
010799794,7,0,7
010799795,1,0,1
010799798,2,0,2
010810401,1,1,2
010810402,2,3,5
010810403,1,2,3
010810404,3,5,8
010810405,7,13,20
010810406,1,3,4
010810407,1,2,3
010810408,0,1,1
010810409,18,11,29
010810410,0,1,1
010810411,26,34,60
010810412,3,3,6
010810413,9,8,17
010810414,1,0,1
010810415,3,6,9
010810417,2,1,3
010810418,0,1,1
010810419,1,0,1
010810420,5,2,7
010810421,0,3,3
010830201,1,0,1
010830202,3,0,3
010830204,5,2,7
010830205,3,2,5
010830206,12,6,18
010830208,3,7,10
010830209,1,2,3
010830211,3,2,5
010859809,1,1,2
010859810,1,0,1
010859812,1,1,2
010879816,1,2,3
010879817,0,1,1
010879818,1,0,1
010879819,6,22,28
010879820,1,4,5
010879821,0,1,1
010890001,24,38,62
010890002,1,1,2
010890003,1,0,1
010890004,1,0,1
010890005,1,0,1
010890006,3,0,3
010890007,1,0,1
010890009,6,5,11
010890011,2,0,2
010890014,2,1,3
010890016,51,84,135
010890017,12,21,33
010890018,9,16,25
010890019,31,85,116
010890020,19,7,26
010890021,0,1,1
010890022,2,4,6
010890025,3,0,3
010890026,23,32,55
010890027,20,10,30
010890028,4,2,6
010890029,13,10,23
010890101,2,1,3
010890102,1,2,3
010890103,2,0,2
010890104,1,1,2
010890105,1,5,6
010890106,12,6,18
010890107,2,2,4
010890108,5,1,6
010890109,21,39,60
010890110,31,13,44
010890111,1,0,1
010890112,5,12,17
010890113,1,2,3
010919828,0,1,1
010919829,0,1,1
010919830,1,0,1
010919834,9,2,11
010939841,0,1,1
010939843,4,1,5
010939844,4,2,6
010939846,2,0,2
010939847,14,4,18
010950301,0,1,1
010950302,3,2,5
010950303,3,1,4
010950304,5,2,7
010950305,10,5,15
010950306,7,12,19
010950307,6,1,7
010950308,5,1,6
010950309,6,4,10
010950310,1,0,1
010950311,6,5,11
010950312,6,6,12
010970001,0,1,1
010970005,1,0,1
010970006,1,2,3
010970008,20,86,106
010970009,31,44,75
010970010,9,15,24
010970012,8,18,26
010970014,1,0,1
010970017,9,1,10
010970019,3,2,5
010970020,0,8,8
010970023,0,1,1
010970024,1,4,5
010970025,44,62,106
010970026,2,1,3
010970027,4,33,37
010970028,6,4,10
010970029,3,18,21
010970030,0,1,1
010970031,7,8,15
010970032,17,29,46
010970033,59,66,125
010970034,6,9,15
010970035,14,44,58
010970036,17,37,54
010970037,99,150,249
010970043,1,0,1
010970054,6,0,6
010970055,3,0,3
010970056,1,1,2
010970057,1,0,1
010970058,2,2,4
010970060,1,1,2
010970061,4,2,6
010970063,3,5,8
010970064,30,30,60
010970065,0,1,1
010970066,1,0,1
010970067,1,1,2
010970068,18,13,31
010970070,2,4,6
010970071,1,2,3
010970072,4,3,7
010970073,5,0,5
010999859,11,5,16
010999860,2,1,3
011010001,3,4,7
011010002,0,1,1
011010005,0,1,1
011010006,20,42,62
011010007,0,2,2
011010009,4,7,11
011010011,0,1,1
011010013,2,4,6
011010014,7,14,21
011010015,3,2,5
011010016,1,1,2
011010018,1,0,1
011010019,1,3,4
011010020,47,95,142
011010021,12,11,23
011010022,1,3,4
011010023,4,0,4
011010024,2,0,2
011010026,8,2,10
011010027,7,12,19
011010028,5,7,12
011010029,6,5,11
011010032,13,10,23
011010033,26,51,77
011010051,1,0,1
011010054,81,104,185
011010055,1,2,3
011010056,27,31,58
011010059,1,1,2
011030001,24,23,47
011030002,9,10,19
011030003,2,5,7
011030004,19,28,47
011030009,0,2,2
011030010,3,1,4
011030051,22,24,46
011030053,19,4,23
011030054,1,3,4
011059870,1,1,2
011059872,2,0,2
011070101,2,0,2
011079877,1,0,1
011079879,5,2,7
011079881,4,1,5
011099889,0,2,2
011099890,13,4,17
011099891,10,5,15
011119901,2,0,2
011119902,1,0,1
011119903,3,0,3
011119904,7,1,8
011119905,1,0,1
011130301,4,1,5
011130302,1,1,2
011130303,3,0,3
011130304,4,2,6
011130305,3,2,5
011130306,0,1,1
011130307,1,0,1
011130309,1,2,3
011130311,3,0,3
011130312,1,3,4
011150401,4,2,6
011150402,15,6,21
011150404,2,0,2
011150405,4,4,8
011170127,0,1,1
011170142,3,4,7
011170144,4,5,9
011170301,1,1,2
011170302,50,75,125
011170303,98,149,247
011170304,3,3,6
011170305,2,1,3
011170306,22,20,42
011170307,3,3,6
011170308,1,0,1
011199913,5,0,5
011199915,2,0,2
011210101,1,2,3
011210102,2,2,4
011210104,2,1,3
011210107,0,1,1
011210108,5,3,8
011210109,8,4,12
011210110,1,0,1
011210113,1,2,3
011210115,2,0,2
011210116,2,1,3
011210117,8,10,18
011210118,6,6,12
011210119,0,1,1
011210120,2,2,4
011239921,1,1,2
011239923,17,20,37
011239924,4,4,8
011239925,6,3,9
011250101,15,25,40
011250102,10,5,15
011250103,3,0,3
011250104,70,95,165
011250105,0,1,1
011250106,1,0,1
011250107,2,6,8
011250108,6,6,12
011250109,10,11,21
011250110,5,1,6
011250112,38,44,82
011250114,3,4,7
011250115,2,2,4
011250116,4,11,15
011250119,5,7,12
011250120,3,3,6
011250121,2,4,6
011250122,0,2,2
011250123,11,12,23
011250124,6,10,16
011250125,5,4,9
011270201,6,6,12
011270202,2,1,3
011270203,19,22,41
011270204,1,1,2
011270208,2,1,3
011270214,0,1,1
011270215,1,0,1
011270218,2,1,3
011299939,1,1,2
011299940,4,0,4
011299941,1,0,1
011299942,1,1,2
011319948,2,2,4
011319949,1,0,1
011319951,1,0,1
011330209,1,0,1
011339840,5,3,8
011339955,1,2,3
011339956,4,0,4
011339957,1,0,1
011339958,1,0,1
020200001,4,4,8
020200002,27,41,68
020200003,0,2,2
020200004,4,12,16
020200006,1,3,4
020200007,3,4,7
020200008,1,1,2
020200009,49,61,110
020200010,3,7,10
020200011,11,14,25
020200012,4,6,10
020200013,5,5,10
020200014,3,4,7
020200015,52,30,82
020200016,57,114,171
020200017,9,13,22
020200018,29,47,76
020200019,8,5,13
020200021,3,1,4
020200022,1,2,3
020200023,5,17,22
020200024,1,1,2
020200025,4,0,4
020200026,3,7,10
020200027,11,26,37
020200028,40,58,98
020200029,2,2,4
020509514,22,2,24
020709716,12,2,14
020900001,26,12,38
020900002,2,3,5
020900003,22,36,58
020900004,0,2,2
020900005,1,3,4
020900006,0,1,1
020900007,2,4,6
020900008,10,7,17
020900009,4,2,6
020900010,3,3,6
020900011,1,7,8
020900012,2,6,8
020900013,4,5,9
020900014,2,2,4
020900015,8,1,9
020900018,4,3,7
020900019,3,3,6
021009668,4,0,4
021109769,7,7,14
021109770,9,10,19
021109771,1,2,3
021109772,3,3,6
021109773,12,14,26
021109774,4,0,4
021229527,0,1,1
021229528,2,2,4
021229530,1,0,1
021229531,0,1,1
021229532,3,2,5
021229533,14,20,34
021229534,0,1,1
021229535,1,1,2
021229536,0,1,1
021229537,0,1,1
021229538,2,8,10
021229539,6,0,6
021229541,2,1,3
021309583,1,0,1
021309686,0,1,1
021309687,19,15,34
021309688,1,0,1
021509622,7,3,10
021509623,4,5,9
021509624,2,0,2
021709744,1,1,2
021709749,9,5,14
021709750,2,17,19
021709751,1,1,2
021709752,12,6,18
021709753,3,0,3
021709755,7,3,10
021709756,1,0,1
021809510,9,4,13
021859502,9,0,9
021889709,7,0,7
022019582,2,0,2
