26077,60427
26079,8097
26081,159145
26083,7156
26085,4939
26087,26033
26089,10608
26091,47907
26093,17736
26095,4004
26097,9249
26099,32606
26101,26688
26103,46739
26105,21832
26107,19466
26109,25648
26111,14005
26113,10606
26115,32917
26117,32069
26119,3755
26121,40577
26123,19220
26125,49576
26127,18379
26129,8907
26131,8650
26133,17889
26135,2027
26137,6552
26139,45301
26141,11249
26143,2274
26145,89290
26147,52341
26149,25499
26151,33930
26153,8681
26155,33246
26157,34913
26159,33185
26161,44714
26163,531591
26165,20769
39000,4767121
39001,24755
39003,56580
39005,22975
39007,59547
39009,47798
39011,31246
39013,76856
39015,24832
39017,70271
39019,15761
39021,26351
39023,66435
39025,29551
39027,23680
39029,76619
39031,30121
39033,34036
39035,637425
39037,42933
39039,24498
39041,27182
39043,38327
39045,39201
39047,21744
39049,221567
39051,23914
39053,25745
39055,14670
39057,29733
39059,42716
39061,460732
39063,37860
39065,30407
39067,19076
39069,25119
39071,28711
39073,23650
39075,17909
39077,34206
39079,30791
39081,65423
39083,30181
39085,22927
39087,39488
39089,55590
39091,30084
39093,76037
39095,192728
39097,19902
39099,116151
39101,33971
39103,23598
39105,25594
39107,27536
39109,45047
39111,24244
39113,163763
39115,16097
39117,16815
39119,57488
39121,18601
39123,22360
39125,22730
39127,35396
39129,26158
39131,15723
39133,30307
39135,23834
39137,29972
39139,47667
39141,40069
39143,35171
39145,48463
39147,42421
39149,24663
39151,122987
39153,108253
39155,52766
39157,57035
39159,21871
39161,29119
39163,13096
39165,24497
39167,45422
39169,38058
39171,25198
39173,46330
39175,20760
55000,2333860
55001,8604
55003,21965
55005,29114
55007,15987
55009,54098
55011,16006
55013,9026
55015,16701
55017,32103
55019,30074
55021,31129
55023,16288
55025,77435
55027,47436
55029,18711
55031,47422
55033,25260
55035,32721
55037,3381
55039,51610
55041,6782
55043,39007
55045,21641
55047,15491
55049,22497
55051,8306
55053,17075
55055,34306
55057,19569
55059,32929
55061,16784
55063,43996
55065,20075
55067,17062
55069,19064
55071,44978
55073,55054
55075,33812
55077,10741
55079,433187
55081,28881
55083,25657
55085,11433
55087,49102
55089,17123
55091,7577
55093,22079
55095,21367
55097,30945
55099,13795
55101,57424
55103,18809
55105,55538
55107,11160
55109,25910
55111,32869
55113,6227
55115,31884
55117,54888
55119,13641
55121,22928
55123,28116
55125,6019
55127,29614
55129,8196
55131,23784
55133,37100
55135,32782
55137,18886
55139,62116
55141,30583
19000,2224771
19001,14420
19003,10998
19005,17328
19007,28701
19009,12671
19011,23156
19013,44865
19015,27626
19017,15843
19019,19748
19021,15981
19023,17119
19025,17090
19027,20117
19029,19047
19031,17765
19033,25011
19035,16741
19037,15375
19039,10736
19041,12766
19043,25576
19045,45394
19047,20041
19049,23628
19051,13315
19053,16347
19055,17888
19057,36145
19059,8137
19061,57450
19063,9816
19065,27919
19067,17119
19069,14780
19071,15623
19073,16023
19075,13574
19077,17374
19079,19242
19081,12731
19083,20921
19085,23162
19087,18640
19089,12920
19091,12182
19093,11296
19095,18409
19097,21258
19099,27034
19101,15951
19103,25914
19105,19050
19107,21160
19109,21971
19111,36702
19113,60720
19115,12855
19117,13462
19119,14624
19121,15621
19123,29860
19125,22995
19127,30279
19129,15811
19131,13435
19133,16633
19135,25429
19137,16604
19139,29505
19141,17262
19143,8956
19145,24002
19147,13845
19149,23129
19151,14808
19153,110438
19155,55832
19157,19589
19159,12904
19161,16555
19163,60000
19165,16552
19167,25248
19169,24083
19171,22156
19173,16312
19175,16616
19177,15020
19179,37743
19181,18194
19183,19925
19185,16184
19187,34629
19189,11914
19191,21729
19193,67616
19195,9950
19197,17951
20000,1690949
20001,27640
20003,13829
20005,28107
20007,9916
20009,17876
20011,24007
20013,21314
20015,23059
20017,7527
20019,11429
20021,38162
20023,4248
20025,4093
20027,15251
20029,18388
20031,15205
20033,3281
20035,31790
20037,51178
20039,8976
20041,24361
20043,14422
20045,24724
20047,7033
20049,10128
20051,12170
20053,10444
20055,6908
20057,11393
20059,20884
20061,12681
20063,6044
20065,8700
20067,1087
20069,3121
20071,1335
20073,16060
20075,3360
20077,14748
20079,19200
20081,993
